,time,bid_ask,round
352,30996,5,2663
353,31007,15,2663
354,31012,5,2663
355,31015,35,2663
356,31016,25,2663
357,31021,25,2663
358,31022,25,2663
359,31023,25,2663
360,31028,5,2663
361,31029,5,2663
362,31031,20,2663
363,31032,15,2663
364,31033,15,2663
365,31040,10,2663
366,31045,10,2663
367,31061,5,2663
368,31064,5,2663
369,31066,10,2663
370,31067,10,2663
371,31069,-1,2663
372,31069,-1,2663
373,31071,-1,2663
374,31073,-1,2663
375,31074,10,2663
376,31076,-1,2663
377,31078,-1,2663
378,31082,-1,2663
379,31154,10,2664
380,31155,10,2664
381,31155,10,2664
382,31159,10,2664
383,31160,10,2664
384,31161,65,2664
385,31164,25,2664
386,31167,35,2664
387,31169,10,2664
388,31171,5,2664
389,31174,10,2664
390,31176,30,2664
391,31177,30,2664
392,31177,30,2664
393,31177,25,2664
394,31178,30,2664
395,31180,25,2664
396,31180,25,2664
397,31180,25,2664
398,31181,25,2664
399,31182,25,2664
400,31184,25,2664
401,31185,25,2664
402,31186,80,2664
403,31187,80,2664
404,31189,75,2664
405,31191,20,2664
406,31191,20,2664
407,31192,20,2664
408,31192,20,2664
409,31192,20,2664
410,31193,10,2664
411,31195,35,2664
412,31197,20,2664
413,31206,20,2664
414,31207,20,2664
415,31208,20,2664
416,31212,10,2664
417,31213,20,2664
418,31223,5,2664
419,31225,5,2664
420,31229,5,2664
421,31235,5,2664
422,31256,5,2664
423,31299,5,2664
424,31299,5,2664
425,31299,5,2664
426,31260,10,2664
427,31261,25,2664
428,31261,25,2664
429,31262,30,2664
430,31263,30,2664
431,31278,5,2664
432,31286,5,2664
433,31288,10,2664
434,31290,10,2664
435,31291,10,2664
436,31292,5,2664
437,31293,10,2664
438,31295,10,2664
439,31297,5,2664
440,31298,5,2664
441,31301,5,2664
442,31302,5,2664
443,31302,5,2664
444,31305,5,2664
445,31305,5,2664
446,31308,5,2664
447,31313,5,2664
448,31316,5,2664
449,31317,5,2664
450,31320,5,2664
451,31326,5,2664
452,31332,5,2664
453,31336,5,2664
454,31336,5,2664
455,31342,10,2664
456,31344,10,2664
457,31346,10,2664
458,31346,10,2664
459,31347,20,2664
460,31348,45,2664
461,31353,35,2664
462,31366,-1,2664
463,31367,-1,2664
464,31459,-1,2665
465,31462,10,2665
466,31465,35,2665
467,31468,35,2665
468,31471,10,2665
469,31473,20,2665
470,31478,10,2665
471,31480,35,2665
472,31483,35,2665
473,31485,35,2665
474,31504,5,2665
475,31511,5,2665
476,31512,5,2665
477,31513,5,2665
478,31514,5,2665
479,31516,10,2665
480,31518,5,2665
481,31522,5,2665
482,31526,5,2665
483,31527,5,2665
484,31532,5,2665
485,31533,5,2665
486,31533,5,2665
487,31537,5,2665
488,31537,5,2665
489,31540,20,2665
490,31541,5,2665
491,31544,15,2665
492,31544,15,2665
493,31549,10,2665
494,31551,15,2665
495,31553,20,2665
496,31554,20,2665
497,31557,-1,2665
498,31558,-1,2665
499,31599,-1,2665
500,31599,-1,2665
501,31599,-1,2665
502,31599,-1,2665
503,31561,5,2665
504,31561,5,2665
505,31562,5,2665
506,31563,5,2665
507,31564,5,2665
508,31565,10,2665
509,31568,5,2665
510,31570,10,2665
511,31573,5,2665
512,31575,5,2665
513,31577,5,2665
514,31577,5,2665
515,31580,5,2665
516,31580,5,2665
517,31581,5,2665
518,31581,5,2665
519,31597,75,2665
520,31597,75,2665
521,31597,75,2665
522,31599,20,2665
523,31602,20,2665
524,31605,10,2665
525,31608,5,2665
526,31609,5,2665
527,31610,5,2665
528,31613,10,2665
529,31615,10,2665
530,31617,5,2665
531,31620,5,2665
532,31621,5,2665
533,31621,5,2665
534,31623,5,2665
535,31625,5,2665
536,31627,5,2665
537,31628,5,2665
538,31628,5,2665
539,31629,5,2665
540,31629,5,2665
541,31629,10,2665
542,31630,20,2665
543,31630,20,2665
544,31631,20,2665
545,31631,30,2665
546,31632,45,2665
547,31632,-1,2665
548,31633,-1,2665
549,31634,15,2665
550,31635,-1,2665
551,31707,10,2666
552,31714,10,2666
553,31719,10,2666
554,31719,10,2666
555,31722,35,2666
556,31724,5,2666
557,31725,5,2666
558,31725,5,2666
559,31725,5,2666
560,31725,5,2666
561,31726,5,2666
562,31726,5,2666
563,31727,5,2666
564,31728,5,2666
565,31729,5,2666
566,31729,5,2666
567,31729,5,2666
568,31730,30,2666
569,31734,5,2666
570,31735,5,2666
571,31745,5,2666
572,31766,10,2666
573,31767,10,2666
574,31767,10,2666
575,31768,10,2666
576,31768,10,2666
577,31769,15,2666
578,31772,15,2666
579,31779,15,2666
580,31782,15,2666
581,31784,15,2666
582,31785,15,2666
583,31815,15,2666
584,31820,10,2666
585,31820,10,2666
586,31821,10,2666
587,31833,10,2666
588,31833,10,2666
589,31833,10,2666
590,31833,10,2666
591,31833,10,2666
592,31833,10,2666
593,31835,15,2666
594,31836,15,2666
595,31836,15,2666
596,31836,15,2666
597,31838,15,2666
598,31838,15,2666
599,31852,20,2666
600,31857,20,2666
601,31861,-1,2666
602,31865,-1,2666
603,31867,-1,2666
604,31870,-1,2666
605,31871,5,2666
606,31872,5,2666
607,31874,5,2666
608,31875,5,2666
609,31876,-1,2666
610,31879,15,2666
611,31955,10,2667
612,31959,10,2667
613,31960,5,2667
614,31962,-1,2667
615,31964,10,2667
616,31965,10,2667
617,31967,-1,2667
618,31968,-1,2667
619,31969,25,2667
620,31972,-1,2667
621,31976,10,2667
622,31978,10,2667
623,31980,10,2667
624,31983,10,2667
625,31985,10,2667
626,31986,10,2667
627,31991,10,2667
628,31992,10,2667
629,31993,10,2667
630,31995,15,2667
631,31996,15,2667
632,31998,10,2667
633,32000,10,2667
634,32002,5,2667
635,32006,5,2667
636,32011,5,2667
637,32016,5,2667
638,32020,5,2667
639,32024,5,2667
640,32025,5,2667
641,32025,5,2667
642,32025,5,2667
643,32027,5,2667
644,32030,10,2667
645,32031,5,2667
646,32032,5,2667
647,32034,10,2667
648,32037,10,2667
649,32079,5,2667
650,32047,5,2667
651,32047,5,2667
652,32047,5,2667
653,32048,5,2667
654,32052,10,2667
655,32054,10,2667
656,32056,5,2667
657,32059,5,2667
658,32063,5,2667
659,32085,10,2667
660,32085,10,2667
661,32085,10,2667
662,32085,10,2667
663,32085,10,2667
664,32087,-1,2667
665,32088,-1,2667
666,32090,-1,2667
667,32092,-1,2667
668,32100,35,2667
669,32102,-1,2667
670,32102,-1,2667
671,32109,25,2667
672,32110,25,2667
673,32114,-1,2667
674,32116,-1,2667
675,32118,-1,2667
676,32119,-1,2667
677,32125,-1,2667
678,32203,10,2668
679,32206,190,2668
680,32208,190,2668
681,32211,180,2668
682,32213,5,2668
683,32216,5,2668
684,32218,5,2668
685,32224,75,2668
686,32226,20,2668
687,32228,20,2668
688,32231,20,2668
689,32231,20,2668
690,32235,15,2668
691,32235,15,2668
692,32237,25,2668
693,32238,25,2668
694,32242,25,2668
695,32243,25,2668
696,32245,30,2668
697,32266,25,2668
698,32267,25,2668
699,32267,25,2668
700,32268,25,2668
701,32271,10,2668
702,32280,10,2668
703,32283,15,2668
704,32283,15,2668
705,32287,5,2668
706,32293,5,2668
