,seconds,price,buy_sell,round
82,20919.718,425,-1,1604
83,20920.523,425,-1,1604
84,20921.081,425,-1,1604
85,20931.866,425,1,1604
86,20935.877,425,-1,1604
87,20938.752999999997,435,-1,1604
88,20939.25,425,-1,1604
89,20971.894999999997,425,-1,1604
90,20972.582000000002,425,-1,1604
91,20987.795,490,1,1604
92,21255.377,500,1,1605
93,21288.129,495,1,1605
94,21288.641000000003,495,1,1605
95,21289.962,500,1,1605
96,21290.535000000003,495,-1,1605
97,21292.136,495,-1,1605
98,21292.311,495,-1,1605
99,21293.250999999997,495,-1,1605
100,21312.548000000003,495,1,1605
101,21582.220999999998,450,-1,1606
102,21582.867,450,-1,1606
103,21583.481,450,-1,1606
104,21598.107000000004,450,-1,1606
105,21604.847999999998,480,-1,1606
106,21613.466,475,-1,1606
107,21622.089,450,-1,1606
108,21626.800000000003,455,-1,1606
109,21627.464999999997,455,-1,1606
110,21632.523,465,1,1606
111,21640.125999999997,465,-1,1606
112,21642.786999999997,465,-1,1606
113,21645.944000000003,470,1,1606
114,21854.620000000003,490,1,1607
115,21854.622000000003,490,1,1607
116,21897.620000000003,460,1,1607
117,21902.811999999998,460,1,1607
118,21905.936999999998,470,1,1607
119,21906.127,450,-1,1607
120,22129.413999999997,445,1,1608
121,22155.358999999997,435,1,1608
122,22167.885000000002,425,1,1608
123,22185.737,420,1,1608
124,22399.943,400,1,1609
125,22424.154000000002,340,1,1609
126,22424.726000000002,365,1,1609
127,22432.836000000003,340,1,1609
128,22438.597,340,1,1609
129,22448.415999999997,290,1,1609
130,22466.921000000002,290,1,1609
131,22473.324,290,1,1609
132,22478.930999999997,305,1,1609
133,22485.197,310,1,1609
134,22641.67,300,1,1610
135,22646.886,295,1,1610
136,22654.424,300,1,1610
137,22654.676,300,1,1610
138,22655.068,300,1,1610
139,22657.392,375,-1,1610
140,22658.186,375,-1,1610
141,22662.989999999998,285,1,1610
142,22663.703999999998,325,1,1610
143,22664.571000000004,370,1,1610
144,22667.301,370,1,1610
145,22672.025999999998,350,1,1610
146,22937.446000000004,305,-1,1611
147,22983.447999999997,290,-1,1611
148,22997.303999999996,280,-1,1611
149,23203.447,290,-1,1612
150,23249.528,280,1,1612
151,23265.207000000002,100,1,1612
152,23271.027000000002,100,1,1612
153,23306.487999999998,200,1,1612
154,23473.193,275,-1,1613
155,23479.398,200,1,1613
156,23523.417,195,1,1613
157,23547.076999999997,190,1,1613
158,23760.873,145,1,1614
159,23780.028,145,-1,1614
160,23783.239,145,-1,1614
161,23784.273,145,-1,1614
162,23784.495000000003,150,1,1614
163,23784.989,145,-1,1614
164,23791.374000000003,150,1,1614
165,23792.144999999997,145,-1,1614
166,23794.461000000003,145,1,1614
167,23798.612,145,1,1614
168,23799.699999999997,145,1,1614
169,23802.196000000004,150,1,1614
170,23820.564,100,-1,1614
171,23962.691,305,1,1615
172,23963.678999999996,540,-1,1615
173,23986.201,200,1,1615
174,24007.023999999998,145,1,1615
175,24088.303999999996,85,1,1615
176,24097.506999999998,90,1,1615
177,24103.451999999997,95,1,1615
178,24121.648999999998,90,1,1615
179,24121.652000000002,90,1,1615
180,24136.150999999998,80,1,1615
