Order_ID,Participant,Type,Period_IF_Robot
405982,5,Manual,-1
405983,5,Manual,-1
405992,5,Manual,-1
405997,5,Manual,-1
406008,5,Manual,-1
406018,5,Manual,-1
406043,5,Manual,-1
406064,5,Manual,-1
406101,5,Manual,-1
406106,5,Manual,-1
406139,5,Manual,-1
406156,5,Manual,-1
406157,5,Manual,-1
406180,5,Manual,-1
406249,5,Manual,-1
406254,5,Manual,-1
406264,5,Manual,-1
406297,5,Manual,-1
406300,5,Manual,-1
406303,5,Manual,-1
406310,5,Manual,-1
406344,5,Manual,-1
406362,5,Manual,-1
406382,5,Manual,-1
406405,5,Manual,-1
406407,5,Manual,-1
406410,5,Manual,-1
406412,5,Manual,-1
406414,5,Manual,-1
406417,5,Manual,-1
406434,5,Manual,-1
406460,5,Manual,-1
406470,5,Manual,-1
406477,5,Manual,-1
406484,5,Manual,-1
406515,5,Manual,-1
406540,5,Manual,-1
406547,5,Manual,-1
406566,5,Manual,-1
406583,5,Manual,-1
406594,5,Manual,-1
406603,5,Manual,-1
406616,5,Manual,-1
406631,5,Manual,-1
406643,5,Manual,-1
406654,5,Manual,-1
406680,5,Manual,-1
406683,5,Manual,-1
406686,5,Manual,-1
406689,5,ROBOT,12
406699,5,ROBOT,12
406703,5,ROBOT,12
406704,5,Manual,-1
406705,5,Manual,-1
406712,5,Manual,-1
406715,5,ROBOT,12
406735,5,Manual,-1
406747,5,Manual,-1
406748,5,Manual,-1
406750,5,Manual,-1
406754,5,Manual,-1
406757,5,ROBOT,13
406759,5,Manual,-1
406761,5,Manual,-1
406762,5,Manual,-1
406767,5,Manual,-1
406777,5,Manual,-1
406778,5,ROBOT,13
406779,5,ROBOT,13
406781,5,Manual,-1
406785,5,ROBOT,13
406794,5,ROBOT,13
406802,5,ROBOT,13
406810,5,ROBOT,13
406813,5,Manual,-1
406817,5,ROBOT,13
406820,5,ROBOT,13
406821,5,Manual,-1
406825,5,Manual,-1
406827,5,ROBOT,13
406829,5,ROBOT,13
406835,5,ROBOT,13
406845,5,ROBOT,14
406853,5,ROBOT,14
406861,5,ROBOT,14
406869,5,ROBOT,14
406877,5,ROBOT,14
406892,5,Manual,-1
406893,5,Manual,-1
406894,5,Manual,-1
406903,5,Manual,-1
406906,5,Manual,-1
406918,5,Manual,-1
406925,5,Manual,-1
406948,5,Manual,-1
406953,5,Manual,-1
407006,5,Manual,-1
407015,5,Manual,-1
407019,5,Manual,-1
405586,6,ROBOT,0
405610,6,ROBOT,0
405632,6,ROBOT,0
405646,6,ROBOT,0
405654,6,ROBOT,0
405679,6,Manual,-1
405695,6,ROBOT,0
405702,6,ROBOT,0
405710,6,Manual,-1
405748,6,ROBOT,1
405751,6,Manual,-1
405752,6,Manual,-1
405753,6,Manual,-1
405754,6,Manual,-1
405755,6,Manual,-1
405756,6,Manual,-1
405757,6,Manual,-1
405758,6,Manual,-1
405759,6,Manual,-1
405760,6,Manual,-1
405761,6,Manual,-1
405762,6,Manual,-1
405763,6,Manual,-1
405764,6,Manual,-1
405765,6,Manual,-1
405766,6,Manual,-1
405767,6,Manual,-1
405798,6,Manual,-1
405799,6,Manual,-1
405800,6,Manual,-1
405801,6,Manual,-1
405802,6,Manual,-1
405803,6,Manual,-1
405804,6,Manual,-1
405805,6,Manual,-1
405861,6,Manual,-1
405884,6,Manual,-1
405887,6,Manual,-1
405901,6,ROBOT,2
405922,6,Manual,-1
405940,6,Manual,-1
405942,6,Manual,-1
406011,6,Manual,-1
406030,6,Manual,-1
406045,6,Manual,-1
406050,6,Manual,-1
406058,6,Manual,-1
406116,6,Manual,-1
406120,6,Manual,-1
406122,6,Manual,-1
406149,6,Manual,-1
406186,6,ROBOT,5
406191,6,ROBOT,5
406194,6,ROBOT,5
406198,6,ROBOT,5
406223,6,ROBOT,5
406234,6,Manual,-1
406251,6,ROBOT,5
